Date,Project,Project1,Cost Center - ID,Regular Hours,Overtime Hours
2020-07-05,"11","11","1025",955.52,386.42
2020-07-05,"11","11","1038",23.94,10.22
2020-07-05,"652","652","1025",131.77,0
2020-07-05,"652","652","1038",13.23,0
2020-07-05,"653","653","1025",10.39,14
2020-07-05,"653","653","1038",3.02,0
2020-07-05,"739","739","1025",88.84,0
2020-07-05,"739","739","1038",26.04,0
2020-07-05,"800","800","1025",36.6,0
2020-07-05,"801","801","1025",49.18,0
2020-07-05,"801","801","1038",11.55,0
2020-07-05,"802","802","1025",235.73,4.42
2020-07-05,"802","802","1038",4.41,0
2020-07-05,"803","803","1025",100.07,6.02
2020-07-05,"803","803","1038",80.69,0
2020-07-05,"FP100","FP100","1025",473.42,0.08
2020-07-05,"Indirect","Indirect","1025",421.64,177.72
2020-07-05,"Indirect","Indirect","1038",277.99,32.68
2020-07-05,"OVRUSV","OVRUSV","1025",8.61,0
2020-07-12,"11","11","1025",2119.7,374.7
2020-07-12,"11","11","1038",90,11.99
2020-07-12,"652","652","1025",134.16,42.64
2020-07-12,"653","653","1025",35,17.76
2020-07-12,"653","653","1038",54.28,1.51
2020-07-12,"739","739","1025",202.34,0
2020-07-12,"739","739","1038",22,0
2020-07-12,"800","800","1025",74.02,3.57
2020-07-12,"801","801","1025",168.83,16.89
2020-07-12,"801","801","1038",52.33,1.17
2020-07-12,"802","802","1025",651.42,69.95
2020-07-12,"802","802","1038",14.81,6.72
2020-07-12,"803","803","1025",189.65,45.07
2020-07-12,"803","803","1038",148.59,18.8
2020-07-12,"DIRECT","DIRECT","1025",8.24,0
2020-07-12,"FP100","FP100","1025",855.31,0.03
2020-07-12,"Indirect","Indirect","1025",1058.16,172.38
2020-07-12,"Indirect","Indirect","1038",727.29,36.7
2020-07-12,"OVRUSV","OVRUSV","1025",12.76,0
2020-07-19,"11","11","1025",2171.89,195.67
2020-07-19,"11","11","1038",92,15.79
2020-07-19,"652","652","1025",152.76,0
2020-07-19,"652","652","1038",6.32,0
2020-07-19,"653","653","1025",112.41,22.46
2020-07-19,"653","653","1038",51.07,0
2020-07-19,"739","739","1025",31.09,4.92
2020-07-19,"739","739","1038",4,0.5
2020-07-19,"800","800","1025",77,20.35
2020-07-19,"801","801","1025",204.03,20.44
2020-07-19,"801","801","1038",40,0.01
2020-07-19,"802","802","1025",469.61,27.42
2020-07-19,"803","803","1025",206.43,49.11
2020-07-19,"803","803","1038",141,3.11
2020-07-19,"DIRECT","DIRECT","1025",14.83,0
2020-07-19,"FP100","FP100","1025",766.46,4.87
2020-07-19,"Indirect","Indirect","1025",1004.32,111.1
2020-07-19,"Indirect","Indirect","1038",772.93,95.59
2020-07-19,"OVRUSV","OVRUSV","1025",17,0
2020-07-26,"11","11","1025",2262.76,290.57
2020-07-26,"11","11","1038",71.68,2.01
2020-07-26,"652","652","1025",78.43,9.31
2020-07-26,"652","652","1038",3.32,0
2020-07-26,"653","653","1025",94.66,32.84
2020-07-26,"653","653","1038",46.41,0
2020-07-26,"739","739","1025",10.63,0.01
2020-07-26,"800","800","1025",83.59,0
2020-07-26,"801","801","1025",216.87,11.74
2020-07-26,"801","801","1038",36.6,0
2020-07-26,"802","802","1025",465.37,12.3
2020-07-26,"803","803","1025",151.04,54.64
2020-07-26,"803","803","1038",184.23,19.9
2020-07-26,"DIRECT","DIRECT","1025",10.84,0
2020-07-26,"FP100","FP100","1025",883.8,0.05
2020-07-26,"Indirect","Indirect","1025",1025.57,74.58
2020-07-26,"Indirect","Indirect","1038",774.23,64.61
2020-07-26,"L2412","L2412","1025",28.47,16.6
2020-07-26,"L2412","L2412","1038",6.5,0
2020-08-02,"11","11","1025",2258.38,221.88
2020-08-02,"11","11","1038",65,9.86
2020-08-02,"652","652","1025",122.82,0
2020-08-02,"652","652","1038",4.92,0
2020-08-02,"653","653","1025",69.89,15.02
2020-08-02,"653","653","1038",43.85,0
2020-08-02,"739","739","1025",60.26,0
2020-08-02,"739","739","1038",2,0
2020-08-02,"800","800","1025",108.64,11.28
2020-08-02,"801","801","1025",369.8,16.85
2020-08-02,"801","801","1038",39.03,0
2020-08-02,"802","802","1025",327.4,27.8
2020-08-02,"803","803","1025",245.33,43.75
2020-08-02,"803","803","1038",171.5,29.34
2020-08-02,"804","804","1025",0,41.07
2020-08-02,"DIRECT","DIRECT","1025",8.79,0
2020-08-02,"FP100","FP100","1025",853.92,12.16
2020-08-02,"Indirect","Indirect","1025",967.76,149.72
2020-08-02,"Indirect","Indirect","1038",765.95,112.62
2020-08-02,"L2412","L2412","1025",22.11,0
2020-08-02,"L2412","L2412","1038",3,0
2020-08-02,"OVRUSV","OVRUSV","1025",5.89,0
2020-08-02,"OVRUSV","OVRUSV","1038",2,0
2020-08-09,"11","11","1025",2317.88,186.88
2020-08-09,"11","11","1038",48,6.99
2020-08-09,"652","652","1025",30.81,0
2020-08-09,"653","653","1025",138.34,47.66
2020-08-09,"653","653","1038",99.44,0
2020-08-09,"739","739","1025",162.87,0
2020-08-09,"739","739","1038",16,1.5
2020-08-09,"800","800","1025",56.4,2.88
2020-08-09,"801","801","1025",319.43,52.33
2020-08-09,"801","801","1038",38.21,0
2020-08-09,"802","802","1025",275.57,15.53
2020-08-09,"802","802","1038",1.79,0
2020-08-09,"803","803","1025",240.82,21.96
2020-08-09,"803","803","1038",114.5,0
2020-08-09,"804","804","1025",0.89,39.76
2020-08-09,"DIRECT","DIRECT","1025",14,0.5
2020-08-09,"FP100","FP100","1025",866.83,5.24
2020-08-09,"Indirect","Indirect","1025",946.08,110.92
2020-08-09,"Indirect","Indirect","1038",757.44,53.94
2020-08-09,"L2412","L2412","1025",82.84,1.25
2020-08-09,"OVRUSV","OVRUSV","1025",44.3,0
2020-08-09,"OVRUSV","OVRUSV","1038",0,1.5
2020-08-16,"11","11","1025",2146.1,237.31
2020-08-16,"11","11","1038",70.63,9.94
2020-08-16,"652","652","1025",21.33,0
2020-08-16,"653","653","1025",204.6,34.16
2020-08-16,"653","653","1038",48.93,7.98
2020-08-16,"739","739","1025",122.46,0
2020-08-16,"739","739","1038",3,0
2020-08-16,"800","800","1025",237.68,75.43
2020-08-16,"801","801","1025",372.46,18.1
2020-08-16,"801","801","1038",40,0
2020-08-16,"802","802","1025",202.62,8.61
2020-08-16,"803","803","1025",235.67,67.29
2020-08-16,"803","803","1038",176.14,15.67
2020-08-16,"804","804","1025",4.15,7.04
2020-08-16,"DIRECT","DIRECT","1025",28.49,2
2020-08-16,"DIRECT","DIRECT","1038",3.87,2.13
2020-08-16,"FP100","FP100","1025",875.22,5.26
2020-08-16,"Indirect","Indirect","1025",1009.08,116.18
2020-08-16,"Indirect","Indirect","1038",767.35,99.19
2020-08-16,"L2412","L2412","1025",36.44,0
2020-08-16,"L2412","L2412","1038",6,0
2020-08-16,"OVRUSV","OVRUSV","1025",17.42,0
2020-08-23,"11","11","1025",2085.37,165.13
2020-08-23,"11","11","1038",77.5,5.39
2020-08-23,"652","652","1025",71.41,9.77
2020-08-23,"652","652","1038",4.86,0
2020-08-23,"653","653","1025",112.92,47.9
2020-08-23,"653","653","1038",54.22,0
2020-08-23,"800","800","1025",266.3,11.68
2020-08-23,"800","800","1038",6.79,0
2020-08-23,"801","801","1025",319.09,116.7
2020-08-23,"801","801","1038",23.99,6.03
2020-08-23,"802","802","1025",215.03,22.75
2020-08-23,"803","803","1025",222.75,53.52
2020-08-23,"803","803","1038",174.12,21.07
2020-08-23,"804","804","1025",3.53,0
2020-08-23,"DIRECT","DIRECT","1025",6.45,0
2020-08-23,"EV2020","EV2020","1025",1.5,0
2020-08-23,"FP100","FP100","1025",936.23,32.78
2020-08-23,"FP100","FP100","1038",0,3.89
2020-08-23,"Indirect","Indirect","1025",1071.29,92.08
2020-08-23,"Indirect","Indirect","1038",776.66,65.31
2020-08-23,"L2412","L2412","1025",282.01,55.79
2020-08-23,"L2412","L2412","1038",2.5,0
2020-08-23,"OVRUSV","OVRUSV","1025",17,0
2020-08-23,"TR200","TR200","1025",4,0
2020-08-30,"11","11","1025",2336.69,294.48
2020-08-30,"11","11","1038",104.36,9.93
2020-08-30,"652","652","1025",50.98,0
2020-08-30,"652","652","1038",7.71,0
2020-08-30,"653","653","1025",141.01,9.62
2020-08-30,"653","653","1038",89.74,5.37
2020-08-30,"800","800","1025",122.66,8.03
2020-08-30,"801","801","1025",238.81,21.74
2020-08-30,"801","801","1038",25.7,2.43
2020-08-30,"802","802","1025",432.2,33.69
2020-08-30,"802","802","1038",8.62,0
2020-08-30,"803","803","1025",160.86,45.42
2020-08-30,"803","803","1038",107.91,4.61
2020-08-30,"DIRECT","DIRECT","1025",19.52,0
2020-08-30,"DIRECT","DIRECT","1038",1.5,0
2020-08-30,"EV2020","EV2020","1025",61.08,22.72
2020-08-30,"EV2020","EV2020","1038",14.25,3.24
2020-08-30,"FP100","FP100","1025",936.6,17.5
2020-08-30,"FP100","FP100","1038",6,0
2020-08-30,"Indirect","Indirect","1025",1103.66,101.47
2020-08-30,"Indirect","Indirect","1038",816.23,52.18
2020-08-30,"OVRUSV","OVRUSV","1025",7.48,16.02
2020-09-06,"11","11","1025",2488.27,170.79
2020-09-06,"11","11","1038",112.47,11.68
2020-09-06,"652","652","1025",40.63,0
2020-09-06,"653","653","1025",127.38,27.71
2020-09-06,"653","653","1038",119.08,7.28
